 Store_Id,OPENDATE,date_super,conversion,st,county,STREETADDR,STRCITY,STRSTATE,ZIPCODE,type_store,LAT,LON,MONTH,DAY,YEAR
2727,10/27/1999,10/27/1999,1,12,86,33501 SO. DIXIE HWY.,Florida City,FL,33034,Supercenter,25.431506,-80.51382,10,27,1999
2814,9/20/2000,9/20/2000,1,12,86,9300 N.W. 77TH AVENUE,Hialeah Gardens,FL,33016,Supercenter,25.887983,-80.33284,9,20,2000
5493,1/26/2005,1/26/2005,0,48,61,7480 PADRE ISLAND BLVD,Brownsville (NE),TX,78521,Supercenter,25.918758,-97.42739,1,26,2005
456,10/5/1982,3/14/2001,1,48,61,3500 W ALTON GLOOR BLVD,Brownsville,TX,78520,Supercenter,25.928274,-97.51618,10,5,1982
3235,9/14/2005,9/14/2005,0,12,86,1425 NORTHEAST 163RD STREET,North Miami Beach,FL,33162,Supercenter,25.929571,-80.17839,9,14,2005
1590,3/3/1992,9/15/2004,1,12,86,5851 N.W. 177TH ST.,Hialeah,FL,33015,Supercenter,25.938687,-80.3182,3,3,1992
2591,8/19/1998,6/16/2004,1,12,11,151 SW 184 AVENUE,Pembroke Pines,FL,33029,Supercenter,26.006373,-80.40212,8,19,1998
5055,10/20/2004,10/20/2004,0,12,21,9885 COLLIER BLVD,Naples (SE),FL,34114,Supercenter,26.020283,-81.63094,10,20,2004
413,5/18/1982,5/18/2005,1,48,61,1401 WEST HWY 100,Port Isabel,TX,78578,Supercenter,26.080434,-97.25024,5,18,1982
1296,2/2/1989,10/30/2002,1,48,61,1126 WEST BUSINESS 77,San Benito,TX,78586,Supercenter,26.111261,-97.63519,2,2,1989
1041,5/12/1987,5/18/2005,1,48,215,1310 NORTH TEXAS BLVD,Weslaco,TX,78596,Supercenter,26.162609,-97.98512,5,12,1987
397,11/17/1981,3/1/1998,1,48,215,1200 E. JACKSON AVE.,McAllen (S),TX,78503,Supercenter,26.172018,-98.25042,11,17,1981
5165,1/21/2004,1/21/2004,0,48,215,1421 WEST FRONTAGE ROAD,Alamo,TX,78516,Supercenter,26.175021,-98.11969,1,21,2004
595,10/2/1984,3/1/1994,1,48,61,1801 WEST LINCOLN AVE,Harlingen,TX,78552,Supercenter,26.195591,-97.75321,10,2,1984
2962,8/14/2002,8/14/2002,0,12,11,2300 WEST ATLANTIC BLVD,Pompano Beach (W),FL,33069,Supercenter,26.22876,-80.15816,8,14,2002
395,11/3/1981,3/1/1994,1,48,215,2410 EAST EXPRESSWAY 83,Mission,TX,78572,Supercenter,26.234417,-98.34205,11,3,1981
5391,8/24/2005,8/24/2005,0,12,21,5420 CORMORANT AVENUE,Naples (I-75),FL,34109,Supercenter,26.240637,-81.76663,8,24,2005
3320,4/13/2005,4/13/2005,0,48,215,215 EAST MILE 3 ROAD,Palmhurst,TX,78574,Supercenter,26.244013,-98.31176,4,13,2005
5325,7/21/2004,7/21/2004,0,12,11,5555 WEST ATLANTIC BLVD,Margate,FL,33063,Supercenter,26.251909,-80.21016,7,21,2004
1387,4/2/1990,3/1/2002,1,12,11,3801 TURTLE CREEK DR,Coral Springs,FL,33067,Supercenter,26.3007,-80.22727,4,2,1990
2963,10/24/2001,10/24/2001,1,12,11,6001 CORAL RIDGE DRIVE,Coral Springs (W),FL,33076,Supercenter,26.30116,-80.2731,10,24,2001
429,11/3/1981,3/1/1994,1,48,215,1724 W UNIVERSITY DRIVE,Edinburg,TX,78539,Supercenter,26.344128,-98.18011,11,3,1981
1958,4/30/1993,4/30/1993,0,48,427,4534 E HWY 83,Rio Grand City,TX,78582,Supercenter,26.445982,-98.69332,4,30,1993
883,2/4/1986,10/26/2005,1,48,489,14091 FM 490,Raymondville,TX,78580,Supercenter,26.500175,-97.81013,2,4,1986
987,3/31/1987,3/1/1995,1,12,71,14821 SIX MILE CYPRESS PKWY,Ft. Myers,FL,33912,Supercenter,26.501582,-81.82841,3,31,1987
5034,6/18/2003,6/18/2003,0,12,71,4770 COLONIAL BLVD,Fort Myers,FL,33912,Supercenter,26.501582,-81.82841,6,18,2003
2789,1/24/2001,1/24/2001,1,12,99,3200 OLD BOYNTON ROAD,Boynton Beach (E),FL,33436,Supercenter,26.530144,-80.10461,1,24,2001
2237,3/15/1995,3/15/1995,1,12,71,2523 LEE BLVD.,Lehigh Acres,FL,33971,Supercenter,26.60599,-81.70296,3,15,1995
819,7/30/1985,3/1/1995,1,12,71,1619 DEL PRADO BLVD,Cape Coral,FL,33990,Supercenter,26.63075,-81.95251,7,30,1985
5301,8/25/2004,8/25/2004,0,12,99,4375 BELVEDERE ROAD,West Palm Beach (AP),FL,33406,Supercenter,26.659294,-80.09118,8,25,2004
