name,province,region,English,French,both,either,neither,total,engperc,frenperc
"Division No.  1, Subd. V",pr10,Atlantic,60,0,0,60,0,60,100,0
Portugal Cove South,pr10,Atlantic,160,0,0,160,0,160,100,0
Trepassey,pr10,Atlantic,560,10,10,560,0,560,100,1.785714286
St. Shott s,pr10,Atlantic,80,0,0,80,0,80,100,0
"Division No.  1, Subd. U",pr10,Atlantic,1490,25,25,1490,0,1490,100,1.677852349
Cape Broyle,pr10,Atlantic,505,0,0,505,0,505,100,0
Renews-Cappahayden,pr10,Atlantic,310,5,5,310,0,310,100,1.612903226
Fermeuse,pr10,Atlantic,315,5,5,315,0,315,100,1.587301587
Port Kirwan,pr10,Atlantic,65,0,0,65,0,65,100,0
Aquaforte,pr10,Atlantic,85,0,0,85,0,85,100,0
Ferryland,pr10,Atlantic,465,10,10,465,0,465,100,2.150537634
"Division No.  1, Subd. W",pr10,Atlantic,510,5,5,510,0,510,100,0.980392157
St. Vincent s-St. Stephen s-Peter s River,pr10,Atlantic,335,0,0,335,0,335,100,0
Gaskiers-Point La Haye,pr10,Atlantic,235,0,0,235,0,235,100,0
St. Mary s,pr10,Atlantic,440,10,10,440,0,440,100,2.272727273
Riverhead,pr10,Atlantic,200,0,0,200,0,200,100,0
Admirals Beach,pr10,Atlantic,155,0,0,155,0,155,100,0
St. Joseph s,pr10,Atlantic,120,5,5,120,0,120,100,4.166666667
Mount Carmel-Mitchells Brook-St. Catherine s,pr10,Atlantic,360,5,5,360,0,360,100,1.388888889
"Division No.  1, Subd. X",pr10,Atlantic,495,15,15,495,0,495,100,3.03030303
Colinet,pr10,Atlantic,110,0,0,110,0,110,100,0
"Division No.  1, Subd. C",pr10,Atlantic,130,0,0,130,0,130,100,0
Branch,pr10,Atlantic,250,5,5,250,0,250,100,2
Point Lance,pr10,Atlantic,125,5,5,125,0,125,100,4
St. Bride s,pr10,Atlantic,305,5,5,305,0,305,100,1.639344262
"Division No.  1, Subd. B",pr10,Atlantic,345,10,10,345,0,345,100,2.898550725
Placentia,pr10,Atlantic,3570,45,45,3570,5,3575,99.86013986,1.258741259
Fox Harbour,pr10,Atlantic,275,5,5,275,0,275,100,1.818181818
"Division No.  1, Subd. A",pr10,Atlantic,755,10,10,755,0,755,100,1.324503311
Long Harbour-Mount Arlington Heights,pr10,Atlantic,300,10,10,300,0,300,100,3.333333333
Southern Harbour,pr10,Atlantic,535,0,0,535,0,535,100,0
Arnold s Cove,pr10,Atlantic,985,10,10,985,0,985,100,1.015228426
Come By Chance,pr10,Atlantic,250,5,5,250,0,250,100,2
Sunnyside,pr10,Atlantic,450,0,0,450,0,450,100,0
Chance Cove,pr10,Atlantic,280,0,0,280,0,280,100,0
Norman s Cove-Long Cove,pr10,Atlantic,720,20,20,720,0,720,100,2.777777778
Chapel Arm,pr10,Atlantic,470,10,10,470,0,470,100,2.127659574
"Division No.  1, Subd. Y",pr10,Atlantic,1175,50,50,1175,5,1180,99.57627119,4.237288136
Whitbourne,pr10,Atlantic,915,40,40,915,5,920,99.45652174,4.347826087
"Division No.  1, Subd. E",pr10,Atlantic,2970,75,75,2970,0,2970,100,2.525252525
Whiteway,pr10,Atlantic,290,10,10,290,0,290,100,3.448275862
Heart s Delight-Islington,pr10,Atlantic,700,10,10,700,5,705,99.29078014,1.418439716
Heart s Desire,pr10,Atlantic,220,0,0,220,0,220,100,0
"Division No.  1, Subd. F",pr10,Atlantic,545,10,10,545,0,545,100,1.834862385
Heart s Content,pr10,Atlantic,370,5,5,370,0,370,100,1.351351351
New Perlican,pr10,Atlantic,210,5,5,210,0,210,100,2.380952381
Winterton,pr10,Atlantic,490,15,15,490,0,490,100,3.06122449
Hant s Harbour,pr10,Atlantic,345,5,5,345,0,345,100,1.449275362
"Division No.  1, Subd. G",pr10,Atlantic,2015,20,20,2015,0,2015,100,0.992555831
Old Perlican,pr10,Atlantic,660,5,5,660,0,660,100,0.757575758
Bay de Verde,pr10,Atlantic,400,5,5,400,0,400,100,1.25
Small Point-Adam s Cove-Blackhead-Broad Cove,pr10,Atlantic,385,0,0,385,0,385,100,0
"Division No.  1, Subd. H",pr10,Atlantic,410,10,10,410,0,410,100,2.43902439
Salmon Cove,pr10,Atlantic,695,5,5,695,0,695,100,0.71942446
Victoria,pr10,Atlantic,1765,15,15,1765,0,1765,100,0.849858357
Carbonear,pr10,Atlantic,4615,100,100,4615,0,4615,100,2.166847237
"Division No. 1, Subd. I SNO",pr10,Atlantic,270,15,15,270,0,270,100,5.555555556
Bryant s Cove,pr10,Atlantic,395,5,5,395,0,395,100,1.265822785
Harbour Grace,pr10,Atlantic,3130,90,90,3130,0,3130,100,2.875399361
Upper Island Cove,pr10,Atlantic,1595,25,25,1595,0,1595,100,1.567398119
Bishop s Cove,pr10,Atlantic,275,10,10,275,0,275,100,3.636363636
Spaniard s Bay,pr10,Atlantic,2620,65,65,2620,0,2620,100,2.480916031
"Division No.  1, Subd. K",pr10,Atlantic,45,0,0,45,0,45,100,0
Bay Roberts,pr10,Atlantic,5815,235,235,5815,0,5815,100,4.041272571
"Division No.  1, Subd. L",pr10,Atlantic,955,20,20,955,0,955,100,2.094240838
"Division No.  1, Subd. M",pr10,Atlantic,1085,40,40,1085,0,1085,100,3.686635945
North River,pr10,Atlantic,565,30,30,565,0,565,100,5.309734513
Clarke s Beach,pr10,Atlantic,1340,50,50,1340,0,1340,100,3.731343284
South River,pr10,Atlantic,660,35,35,660,0,660,100,5.303030303
Cupids,pr10,Atlantic,765,30,30,765,5,770,99.35064935,3.896103896
"Division No. 1, Subd. N SNO",pr10,Atlantic,315,5,5,315,0,315,100,1.587301587
Brigus,pr10,Atlantic,750,30,30,750,0,750,100,4
"Division No.  1, Subd. O",pr10,Atlantic,725,25,25,725,0,725,100,3.448275862
Colliers,pr10,Atlantic,650,5,5,650,0,650,100,0.769230769
Conception Harbour,pr10,Atlantic,695,5,5,695,0,695,100,0.71942446
Avondale,pr10,Atlantic,640,15,15,640,0,640,100,2.34375
Harbour Main-Chapel s Cove-Lakeview,pr10,Atlantic,1080,20,20,1080,0,1080,100,1.851851852
Holyrood,pr10,Atlantic,1940,40,40,1940,5,1945,99.74293059,2.05655527
Conception Bay South,pr10,Atlantic,24595,1515,1515,24595,5,24600,99.9796748,6.158536585
"Division No.  1, Subd. R",pr10,Atlantic,345,0,0,345,0,345,100,0
Wabana,pr10,Atlantic,2335,20,20,2335,0,2335,100,0.856531049
Portugal Cove-St. Philip s,pr10,Atlantic,7355,540,535,7360,5,7365,99.86422267,7.33197556
Pouch Cove,pr10,Atlantic,1860,55,50,1865,0,1865,99.73190349,2.949061662
Flatrock,pr10,Atlantic,1455,80,80,1455,0,1455,100,5.498281787
Torbay,pr10,Atlantic,7395,535,535,7395,0,7395,100,7.234617985
Logy Bay-Middle Cove-Outer Cove,pr10,Atlantic,2100,170,170,2100,0,2100,100,8.095238095
Bauline,pr10,Atlantic,400,20,20,400,0,400,100,5
Paradise,pr10,Atlantic,17550,985,985,17550,5,17555,99.97151809,5.610937055
St. John s,pr10,Atlantic,104410,8865,8830,104445,275,104720,99.7039725,8.465431627
Mount Pearl,pr10,Atlantic,24125,1495,1495,24125,20,24145,99.91716712,6.191758128
Petty Harbour-Maddox Cove,pr10,Atlantic,925,55,55,925,0,925,100,5.945945946
Bay Bulls,pr10,Atlantic,1285,50,50,1285,0,1285,100,3.891050584
Witless Bay,pr10,Atlantic,1140,25,25,1140,5,1145,99.56331878,2.183406114
"Division No.  1, Subd. D",pr10,Atlantic,115,0,0,115,0,115,100,0
"Division No.  2, Subd. E",pr10,Atlantic,265,5,5,265,0,265,100,1.886792453
Lewin s Cove,pr10,Atlantic,555,10,10,555,0,555,100,1.801801802
Burin,pr10,Atlantic,2420,40,40,2420,0,2420,100,1.652892562
"Division No.  2, Subd. F",pr10,Atlantic,130,5,5,130,0,130,100,3.846153846
St. Lawrence,pr10,Atlantic,1210,25,25,1210,0,1210,100,2.066115702
Lawn,pr10,Atlantic,670,5,5,670,0,670,100,0.746268657
Lamaline,pr10,Atlantic,290,5,5,290,0,290,100,1.724137931
Lord s Cove,pr10,Atlantic,170,0,0,170,0,170,100,0
Point May,pr10,Atlantic,235,0,0,235,0,235,100,0
Point au Gaul,pr10,Atlantic,95,0,0,95,0,95,100,0
"Division No.  2, Subd. H",pr10,Atlantic,140,0,0,140,0,140,100,0
Frenchman s Cove,pr10,Atlantic,170,5,5,170,0,170,100,2.941176471
Fortune,pr10,Atlantic,1440,20,20,1440,0,1440,100,1.388888889
Grand Bank,pr10,Atlantic,2360,35,35,2360,0,2360,100,1.483050847
Garnish,pr10,Atlantic,545,15,10,550,0,550,99.09090909,2.727272727
"Division No.  2, Subd. D",pr10,Atlantic,260,10,10,260,0,260,100,3.846153846
Winterland,pr10,Atlantic,365,20,20,365,0,365,100,5.479452055
Marystown,pr10,Atlantic,5500,280,280,5500,5,5505,99.90917348,5.086285195
Fox Cove-Mortier,pr10,Atlantic,335,5,5,335,0,335,100,1.492537313
"Division No.  2, Subd. I",pr10,Atlantic,145,5,5,145,0,145,100,3.448275862
Bay L Argent,pr10,Atlantic,290,5,5,290,0,290,100,1.724137931
Grand le Pierre,pr10,Atlantic,255,0,0,255,0,255,100,0
"Division No.  2, Subd. C",pr10,Atlantic,590,0,0,590,0,590,100,0
Rushoon,pr10,Atlantic,290,5,5,290,0,290,100,1.724137931
Parkers Cove,pr10,Atlantic,300,5,5,300,0,300,100,1.666666667
Terrenceville,pr10,Atlantic,530,5,5,530,0,530,100,0.943396226
Red Harbour,pr10,Atlantic,195,5,5,195,0,195,100,2.564102564
English Harbour East,pr10,Atlantic,150,0,0,150,0,150,100,0
Baine Harbour,pr10,Atlantic,140,0,0,140,0,140,100,0
St. Bernard s-Jacques Fontaine,pr10,Atlantic,470,5,5,470,0,470,100,1.063829787
"Division No.  2, Subd. K",pr10,Atlantic,590,5,5,590,0,590,100,0.847457627
Little Bay East,pr10,Atlantic,125,0,0,125,0,125,100,0
Rencontre East,pr10,Atlantic,140,0,0,140,0,140,100,0
St. Jacques-Coomb s Cove,pr10,Atlantic,615,5,5,615,0,615,100,0.81300813
Belleoram,pr10,Atlantic,410,5,5,410,0,410,100,1.219512195
Pool s Cove,pr10,Atlantic,180,0,0,180,0,180,100,0
Harbour Breton,pr10,Atlantic,1700,25,25,1700,0,1700,100,1.470588235
Seal Cove (Fortune Bay),pr10,Atlantic,265,0,0,265,0,265,100,0
Hermitage-Sandyville,pr10,Atlantic,450,10,5,455,0,455,98.9010989,2.197802198
Gaultois,pr10,Atlantic,180,0,0,180,0,180,100,0
"Division No.  3, Subd. D",pr10,Atlantic,265,0,0,265,0,265,100,0
Milltown-Head of Bay d Espoir,pr10,Atlantic,795,15,15,795,0,795,100,1.886792453
St. Alban s,pr10,Atlantic,1235,20,20,1235,0,1235,100,1.619433198
Morrisville,pr10,Atlantic,115,5,5,115,0,115,100,4.347826087
"Division No.  3, Subd. E",pr10,Atlantic,115,0,0,115,0,115,100,0
"Division No.  3, Subd. F",pr10,Atlantic,385,5,5,385,0,385,100,1.298701299
Ramea,pr10,Atlantic,280,5,5,280,0,280,100,1.785714286
Burgeo,pr10,Atlantic,1450,15,15,1450,0,1450,100,1.034482759
"Division No.  3, Subd. H",pr10,Atlantic,725,10,10,725,0,725,100,1.379310345
Isle aux Morts,pr10,Atlantic,615,0,0,615,0,615,100,0
Burnt Islands,pr10,Atlantic,650,0,0,650,0,650,100,0
Channel-Port aux Basques,pr10,Atlantic,4100,55,55,4100,5,4105,99.87819732,1.339829476
"Division No.  3, Subd. I",pr10,Atlantic,105,0,0,105,0,105,100,0
"Division No.  3, Subd. J",pr10,Atlantic,395,5,5,395,0,395,100,1.265822785
Rose Blanche-Harbour le Cou,pr10,Atlantic,115,0,0,115,0,115,100,0
Samiajij Miawpukek,pr10,Atlantic,920,5,5,920,0,920,100,0.543478261
"Division No.  4, Subd. A",pr10,Atlantic,1810,55,55,1810,0,1810,100,3.038674033
"Division No.  4, Subd. B",pr10,Atlantic,1300,30,30,1300,0,1300,100,2.307692308
"Division No.  4, Subd. C",pr10,Atlantic,725,10,10,725,0,725,100,1.379310345
St. George s,pr10,Atlantic,1205,30,30,1205,0,1205,100,2.489626556
